version,step,R_mean,G_n_mean,n,q_tot_pred_mean,drbfn_loss,qi_loss,qtot_loss
3,1820,0.2632,4.5804,5,4.6622,0.0017,0.004,0.9775
3,1830,0.2717,4.6264,5,4.538,0.0018,0.0043,0.8092
3,1840,0.2613,4.5086,5,4.4627,0.0017,0.0037,0.672
3,1850,0.2649,4.547,5,4.5145,0.0016,0.0039,0.5421
3,1860,0.246,4.2815,5,4.1983,0.0016,0.0041,0.4721
3,1870,0.2594,4.4583,5,4.4221,0.0018,0.0037,0.7216
3,1880,0.2816,4.7202,5,4.6315,0.0015,0.0039,0.7959
3,1890,0.2867,4.7669,5,4.6663,0.0016,0.0043,0.7585
3,1900,0.2498,4.4127,5,4.4308,0.0016,0.0039,0.8106
3,1910,0.2581,4.5542,5,4.574,0.0019,0.0041,1.0119
3,1920,0.2454,4.2708,5,4.3193,0.0015,0.0036,0.8327
3,1930,0.2418,4.2119,5,4.3013,0.0018,0.0038,0.7733
3,1940,0.2223,3.9566,5,3.9507,0.002,0.0036,0.3805
3,1950,0.2799,4.8517,5,4.8279,0.0016,0.0044,0.6321
3,1960,0.2573,4.4514,5,4.4315,0.0019,0.0041,0.6583
3,1970,0.2692,4.6816,5,4.6785,0.0017,0.0042,0.493
3,1980,0.2349,4.1801,5,4.14,0.0021,0.0039,0.7181
3,1990,0.2528,4.4324,5,4.5172,0.0017,0.0039,0.7309
3,2000,0.2797,4.9379,5,5.0137,0.0018,0.0038,0.9648
3,2010,0.3006,5.1446,5,5.1019,0.0016,0.0045,0.8929
3,2020,0.2748,4.6933,5,4.7458,0.0016,0.004,0.6289
3,2030,0.2864,5.0015,5,5.0372,0.0016,0.0046,0.969
3,2040,0.2153,3.9359,5,3.9325,0.002,0.0034,0.6296
3,2050,0.254,4.5415,5,4.4701,0.0018,0.0039,0.6162
3,2060,0.2796,4.9099,5,4.662,0.0018,0.0042,0.9825
3,2070,0.2228,3.8888,5,3.7885,0.0017,0.0038,0.633
3,2080,0.2141,3.7995,5,3.791,0.0017,0.0036,0.659
3,2090,0.2251,3.9902,5,3.9035,0.0018,0.0039,0.3916
3,2100,0.262,4.5359,5,4.5538,0.0016,0.0042,0.5615
3,2110,0.2451,4.2157,5,4.3256,0.0019,0.0039,1.181
3,2120,0.2502,4.273,5,4.2123,0.0017,0.0039,0.9253
3,2130,0.2509,4.4493,5,4.4906,0.0016,0.0041,0.5599
3,2140,0.258,4.6207,5,4.7127,0.0017,0.0042,0.927
3,2150,0.2244,4.062,5,4.1471,0.0018,0.0037,0.6442
3,2160,0.2489,4.4642,5,4.5065,0.0016,0.0039,0.571
3,2170,0.226,4.1114,5,4.0799,0.0016,0.0038,0.5458
3,2180,0.2632,4.6563,5,4.6557,0.0019,0.0045,0.6541
3,2190,0.2662,4.6631,5,4.6577,0.0016,0.0046,0.4488
3,2200,0.2339,4.161,5,4.1101,0.0017,0.0039,0.6679
3,2210,0.2598,4.6516,5,4.5631,0.0018,0.0045,0.7071
3,2220,0.2829,4.9064,5,4.7585,0.0018,0.0048,0.7008
3,2230,0.2506,4.3272,5,4.2437,0.0017,0.0039,0.9973
3,2240,0.2656,4.5839,5,4.6461,0.0015,0.0042,0.5245
3,2250,0.2585,4.5682,5,4.5846,0.0016,0.0041,0.4652
3,2260,0.2714,4.7905,5,4.854,0.0017,0.0043,0.7107
3,2270,0.2253,4.1195,5,4.1744,0.0023,0.0038,0.5183
3,2280,0.2501,4.4568,5,4.6082,0.0019,0.0082,1.0011
3,2290,0.2683,4.841,5,4.7988,0.0018,0.0044,0.5416
3,2300,0.2635,4.6932,5,4.7158,0.0015,0.0044,0.9098
3,2310,0.2663,4.6826,5,4.6611,0.0015,0.0044,0.7944
3,2320,0.268,4.6548,5,4.6103,0.0019,0.0045,1.0235
3,2330,0.2717,4.6819,5,4.5396,0.0018,0.0043,0.6282
3,2340,0.2587,4.6237,5,4.574,0.0016,0.0041,0.4608
