version,step,R_mean,G_n_mean,n,q_tot_pred_mean,drbfn_loss,qi_loss,qtot_loss
3,1830,0.4575,5.8907,5,6.044,0.0274,0.0562,2.7439
3,1840,0.4853,6.1423,5,5.9956,0.0295,0.062,3.1475
3,1850,0.4488,5.8765,5,5.8759,0.03,0.0527,3.1568
3,1860,0.4914,6.1745,5,6.2972,0.0286,0.0639,3.472
3,1870,0.5413,6.6634,5,6.3211,0.0304,0.0594,3.3987
3,1880,0.4827,6.2064,5,6.3905,0.0282,0.0644,3.4189
3,1890,0.4978,6.2601,5,6.4273,0.0293,0.0654,2.7571
3,1900,0.5011,6.3461,5,6.1802,0.0283,0.0604,3.6732
3,1910,0.505,6.5797,5,6.6881,0.0306,0.0642,3.4778
3,1920,0.5288,6.7498,5,6.724,0.0305,0.0641,3.4654
3,1930,0.4601,5.8591,5,5.7967,0.0275,0.0577,2.3689
3,1940,0.4532,5.6561,5,5.9721,0.0262,0.0566,3.3133
3,1950,0.4399,5.7408,5,5.8744,0.0285,0.067,3.2735
3,1960,0.4509,5.8606,5,5.7699,0.0274,0.0555,2.2448
3,1970,0.5104,6.3473,5,6.4459,0.0265,0.0696,3.3851
3,1980,0.4618,5.7987,5,5.6434,0.0257,0.0567,3.0183
3,1990,0.375,4.7317,5,5.2249,0.0258,0.0581,2.6471
3,2000,0.4933,5.9685,5,5.7378,0.0258,0.0579,2.5899
3,2010,0.4763,5.9429,5,5.8845,0.0267,0.0551,3.2689
3,2020,0.3948,5.1373,5,5.4703,0.0265,0.0529,2.646
3,2030,0.4433,5.7816,5,5.7493,0.0273,0.0559,2.929
3,2040,0.4377,5.6141,5,5.6041,0.0272,0.0592,2.7684
3,2050,0.45,5.753,5,5.7824,0.0271,0.0662,3.2337
3,2060,0.4624,5.8412,5,5.9024,0.027,0.0549,2.2825
3,2070,0.4792,5.9642,5,5.7959,0.0267,0.064,3.4278
3,2080,0.4909,5.9966,5,5.9414,0.0269,0.0659,3.5113
3,2090,0.4924,6.1297,5,6.2672,0.0267,0.0702,3.6766
3,2100,0.4876,6.0736,5,6.1398,0.0262,0.0673,3.6072
3,2110,0.4854,6.2249,5,6.4415,0.028,0.07,4.1996
3,2120,0.5434,6.7038,5,6.6169,0.0274,0.0683,3.3502
3,2130,0.5472,6.8201,5,6.3094,0.0278,0.067,4.0165
3,2140,0.504,6.4523,5,6.6837,0.0285,0.0619,3.4259
3,2150,0.4881,6.4016,5,6.3336,0.0297,0.06,3.4096
3,2160,0.5009,6.292,5,6.1277,0.0263,0.0639,3.2552
3,2170,0.4989,6.3563,5,6.2547,0.0294,0.0702,3.7666
3,2180,0.4716,6.137,5,6.2441,0.0292,0.0634,3.7742
3,2190,0.5362,6.9085,5,6.6821,0.0267,0.0695,3.1849
3,2200,0.53,6.6907,5,6.3475,0.0254,0.0713,3.4181
3,2210,0.4954,6.3602,5,6.2513,0.0314,0.0688,3.5338
3,2220,0.5248,6.5866,5,6.6682,0.0285,0.074,3.9114
3,2230,0.5329,6.6709,5,6.5236,0.0293,0.0715,3.3266
3,2240,0.4973,6.581,5,6.7322,0.0285,0.065,4.05
3,2250,0.5765,7.205,5,6.9146,0.0293,0.0661,3.9147
3,2260,0.5401,7.1269,5,6.9071,0.0287,0.0749,4.219
3,2270,0.5534,7.2093,5,7.1281,0.0271,0.0688,3.7289
3,2280,0.519,6.7134,5,6.5302,0.0261,0.0698,3.7295
3,2290,0.5058,6.6181,5,6.5134,0.0296,0.0731,3.7158
3,2300,0.5316,6.9121,5,6.9059,0.029,0.0673,3.6508
3,2310,0.5676,7.1596,5,7.0649,0.0277,0.0764,4.6812
3,2320,0.5603,7.1448,5,6.7805,0.0304,0.0749,4.6038
3,2330,0.5783,7.3706,5,7.0521,0.0306,0.0713,4.316
3,2340,0.4833,6.4993,5,6.5514,0.0281,0.068,3.5344
3,2350,0.5501,7.1712,5,7.0914,0.0309,0.0777,3.8013
