version,step,R_mean,G_n_mean,n,q_tot_pred_mean,drbfn_loss,qi_loss,qtot_loss
3,2440,0.3776,4.8405,5,4.8908,0.0107,0.0104,1.4073
3,2450,0.4142,5.0862,5,4.9855,0.0093,0.0116,1.4022
3,2460,0.3825,4.8743,5,4.8659,0.0088,0.0096,0.88
3,2470,0.4405,5.3941,5,5.1277,0.0097,0.0159,1.9939
3,2480,0.4058,4.9995,5,5.0202,0.0087,0.0122,1.4557
3,2490,0.4045,5.1062,5,5.1251,0.0098,0.0138,1.6906
3,2500,0.3747,4.7807,5,4.8495,0.0107,0.0149,1.6149
3,2510,0.4032,5.042,5,4.8608,0.0097,0.0122,1.4987
3,2520,0.3852,4.843,5,4.9079,0.0099,0.0115,1.512
3,2530,0.4063,5.0132,5,5.1026,0.0089,0.016,1.261
3,2540,0.4125,5.0812,5,4.9197,0.0086,0.0247,1.7949
3,2550,0.4008,5.0737,5,4.9154,0.0099,0.0143,1.64
3,2560,0.3506,4.4595,5,4.5606,0.0121,0.013,1.652
3,2570,0.4185,5.1389,5,5.1135,0.01,0.0162,1.534
3,2580,0.3828,4.835,5,4.8405,0.0097,0.0117,1.064
3,2590,0.4107,5.0002,5,4.8249,0.0097,0.0169,1.6296
3,2600,0.3972,5.0888,5,5.0478,0.0095,0.0119,0.9343
3,2610,0.4228,5.1382,5,4.9075,0.0091,0.0152,1.2352
3,2620,0.3917,4.9054,5,5.0297,0.0094,0.0131,1.3606
3,2630,0.3908,4.9375,5,4.9884,0.0098,0.0126,1.5805
3,2640,0.3891,4.9227,5,4.8802,0.0095,0.0144,1.0529
3,2650,0.399,4.9135,5,5.0282,0.0093,0.0174,1.6345
3,2660,0.3907,4.9923,5,5.0787,0.0088,0.0134,1.1243
3,2670,0.4091,5.0474,5,5.0007,0.0087,0.0162,1.3134
3,2680,0.3825,4.8768,5,4.986,0.0091,0.012,0.9472
3,2690,0.4008,5.0225,5,5.072,0.0082,0.0131,1.0962
3,2700,0.3878,4.9629,5,4.8953,0.01,0.0143,1.4953
3,2710,0.3603,4.5823,5,4.6207,0.0106,0.014,0.7019
3,2720,0.4198,5.2399,5,5.3367,0.0101,0.0151,1.7994
3,2730,0.4368,5.3157,5,4.9964,0.0109,0.0237,2.5119
3,2740,0.4177,5.196,5,5.0493,0.0098,0.0202,2.0356
3,2750,0.4145,5.1825,5,5.1649,0.0098,0.0187,1.6947
3,2760,0.4273,5.3221,5,5.2805,0.0095,0.0155,2.0575
3,2770,0.4168,5.1174,5,4.9956,0.0092,0.0163,2.0403
3,2780,0.4564,5.3449,5,5.2212,0.0095,0.0278,2.1901
3,2790,0.4392,5.4648,5,5.3242,0.0106,0.0154,2.4175
3,2800,0.4466,5.4698,5,5.3439,0.0089,0.0254,2.123
3,2810,0.4185,5.2192,5,5.0317,0.0089,0.0182,1.6126
3,2820,0.3971,4.9822,5,5.2045,0.0098,0.0169,2.1598
3,2830,0.3945,4.9731,5,5.1643,0.01,0.0147,1.4771
3,2840,0.3984,4.9804,5,4.9241,0.0109,0.0197,1.9032
3,2850,0.3679,4.6524,5,4.7525,0.0108,0.0163,1.2004
3,2860,0.4276,5.3006,5,5.2602,0.009,0.0182,2.0508
