version,step,R_mean,G_n_mean,n,q_tot_pred_mean,drbfn_loss,qi_loss,qtot_loss
3,2450,0.0656,1.2984,5,1.2959,0.0015,0.0023,0.1234
3,2460,0.0776,1.4853,5,1.527,0.0016,0.0029,0.1231
3,2470,0.0659,1.2652,5,1.2892,0.0013,0.0023,0.2468
3,2480,0.0962,1.7179,5,1.718,0.0016,0.0037,0.0961
3,2490,0.0822,1.485,5,1.4619,0.0013,0.0026,0.0711
3,2500,0.0676,1.3336,5,1.3816,0.0016,0.0023,0.2365
3,2510,0.0987,1.7798,5,1.7988,0.0017,0.0031,0.2769
3,2520,0.0745,1.3779,5,1.3613,0.0015,0.0025,0.2128
3,2530,0.0695,1.3081,5,1.2731,0.0015,0.0021,0.1023
3,2540,0.0802,1.4798,5,1.5212,0.0015,0.0025,0.0996
3,2550,0.0881,1.5599,5,1.5776,0.0014,0.0024,0.1099
3,2560,0.0962,1.6444,5,1.5837,0.0016,0.0028,0.1333
3,2570,0.0718,1.3894,5,1.441,0.0014,0.0024,0.3229
3,2580,0.0786,1.4188,5,1.451,0.0016,0.0022,0.0929
3,2590,0.0916,1.6369,5,1.6262,0.0016,0.0032,0.1131
3,2600,0.0851,1.5042,5,1.4903,0.0015,0.0026,0.1681
3,2610,0.0885,1.5322,5,1.5417,0.0014,0.0028,0.2082
3,2620,0.132,2.1539,5,2.1444,0.0016,0.0039,0.1969
3,2630,0.1139,1.9299,5,1.919,0.0014,0.0037,0.1332
3,2640,0.0964,1.6764,5,1.6883,0.0015,0.0033,0.2681
3,2650,0.1026,1.7791,5,1.7631,0.0014,0.0038,0.1171
3,2660,0.0954,1.7154,5,1.722,0.0015,0.0035,0.0896
3,2670,0.0823,1.4919,5,1.4426,0.0012,0.0027,0.2183
3,2680,0.0824,1.4922,5,1.4836,0.0014,0.0025,0.2532
3,2690,0.0672,1.2841,5,1.2875,0.0016,0.0023,0.2395
3,2700,0.0898,1.6469,5,1.6838,0.0013,0.0034,0.222
3,2710,0.0852,1.5271,5,1.5139,0.0015,0.0025,0.1134
3,2720,0.0773,1.4632,5,1.4613,0.0015,0.0029,0.3259
3,2730,0.0857,1.5533,5,1.5323,0.0013,0.0025,0.0784
3,2740,0.0987,1.7404,5,1.706,0.0015,0.003,0.1062
3,2750,0.0856,1.5875,5,1.558,0.0015,0.0026,0.2062
3,2760,0.1013,1.7111,5,1.6638,0.0014,0.0033,0.1363
3,2770,0.0944,1.702,5,1.6826,0.0016,0.0029,0.1196
3,2780,0.0835,1.5724,5,1.5694,0.0013,0.0026,0.0843
3,2790,0.1139,2.0254,5,2.0266,0.0017,0.0037,0.1632
3,2800,0.0996,1.7513,5,1.7223,0.0017,0.003,0.1391
3,2810,0.1058,1.8196,5,1.7849,0.0018,0.003,0.0852
3,2820,0.0667,1.3336,5,1.323,0.0013,0.0019,0.0974
3,2830,0.0727,1.3896,5,1.3626,0.0016,0.0022,0.0966
3,2840,0.0759,1.4261,5,1.4398,0.0014,0.0021,0.0748
3,2850,0.0904,1.6457,5,1.6676,0.0015,0.0027,0.0844
3,2860,0.1106,1.8981,5,1.8607,0.0015,0.0029,0.1139
3,2870,0.121,2.0621,5,2.0346,0.0014,0.0035,0.2475
3,2880,0.1449,2.3436,5,2.3577,0.0018,0.0041,0.1398
3,2890,0.1153,1.9933,5,2.0989,0.0015,0.0032,0.3588
3,2900,0.1217,2.0236,5,2.0597,0.0016,0.0036,0.2827
3,2910,0.1178,1.9704,5,1.9848,0.0015,0.0031,0.3792
3,2920,0.1381,2.2656,5,2.2438,0.0017,0.0038,0.1371
3,2930,0.1276,2.1131,5,2.0864,0.0015,0.0035,0.164
3,2940,0.1241,2.0721,5,2.0622,0.0017,0.0034,0.2466
3,2950,0.1575,2.6121,5,2.5972,0.0017,0.0045,0.2648
3,2960,0.1618,2.6421,5,2.6819,0.0016,0.0044,0.3523
3,2970,0.151,2.5103,5,2.5145,0.0018,0.004,0.3062
3,2980,0.1212,2.0787,5,2.1463,0.0012,0.0038,0.2295
